rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
1,3,1990,2,RTTP,46,13,1990,2,1
1,3,1990,2,RTTP,48,13,1990,2,3
1,3,1990,2,RTTP,52,13,1990,2,1
1,3,1990,2,RTTP,52,13,1991,1,1
1,3,1990,2,RTTP,54,13,1990,2,3
1,3,1990,2,RTTP,54,15,1990,3,1
1,3,1990,2,RTTP,56,13,1990,2,2
1,3,1990,2,RTTP,60,13,1990,2,2
2,3,1990,3,RTTP,38,13,1990,3,1
2,3,1990,3,RTTP,40,13,1991,3,1
2,3,1990,3,RTTP,42,13,1991,1,1
3,3,1991,3,RTTP,30,13,1991,3,3
3,3,1991,3,RTTP,30,15,1992,2,1
3,3,1991,3,RTTP,32,13,1991,3,1
3,3,1991,3,RTTP,38,11,1994,1,1
3,3,1991,3,RTTP,40,13,1991,4,1
3,3,1991,3,RTTP,42,13,1991,3,1
3,3,1991,3,RTTP,50,13,1991,3,1
5,3,1992,3,RTTP,38,14,1992,3,1
6,4,1991,3,RTTP,38,15,1993,2,1
6,4,1991,3,RTTP,42,25,1991,4,1
6,4,1991,3,RTTP,48,13,1992,2,1
6,4,1991,3,RTTP,66,13,1992,3,1
7,4,1992,1,RTTP,46,15,1993,3,1
7,4,1992,1,RTTP,48,4,1994,3,1
7,4,1992,1,RTTP,48,15,1992,4,1
7,4,1992,1,RTTP,48,15,1993,3,1
7,4,1992,1,RTTP,48,16,1993,2,1
7,4,1992,1,RTTP,50,13,1992,2,2
7,4,1992,1,RTTP,50,13,1992,3,1
7,4,1992,1,RTTP,50,13,1992,4,2
7,4,1992,1,RTTP,50,13,1993,1,1
7,4,1992,1,RTTP,50,15,1992,1,1
7,4,1992,1,RTTP,50,15,1993,1,1
7,4,1992,1,RTTP,50,16,1993,1,1
7,4,1992,1,RTTP,50,16,1993,2,1
7,4,1992,1,RTTP,52,13,1992,2,2
7,4,1992,1,RTTP,52,13,1993,2,1
7,4,1992,1,RTTP,52,15,1992,2,1
7,4,1992,1,RTTP,52,15,1992,4,1
7,4,1992,1,RTTP,52,15,1993,1,1
7,4,1992,1,RTTP,52,15,1993,3,1
7,4,1992,1,RTTP,54,2,1993,4,1
7,4,1992,1,RTTP,54,9,1997,2,1
7,4,1992,1,RTTP,54,15,1992,1,2
8,4,1992,2,RTTP,42,13,1993,1,1
8,4,1992,2,RTTP,44,15,1993,2,1
8,4,1992,2,RTTP,44,16,1992,2,1
8,4,1992,2,RTTP,48,13,1993,1,1
8,4,1992,2,RTTP,48,13,1993,2,1
8,4,1992,2,RTTP,48,15,1992,2,1
8,4,1992,2,RTTP,48,15,1992,4,1
8,4,1992,2,RTTP,50,13,1992,2,2
8,4,1992,2,RTTP,50,13,1992,4,1
8,4,1992,2,RTTP,50,15,1992,2,3
8,4,1992,2,RTTP,50,15,1993,2,1
8,4,1992,2,RTTP,50,15,1993,3,1
8,4,1992,2,RTTP,50,16,1992,4,1
8,4,1992,2,RTTP,52,13,1992,2,5
8,4,1992,2,RTTP,52,13,1993,2,1
8,4,1992,2,RTTP,52,14,1992,2,1
8,4,1992,2,RTTP,52,15,1992,2,4
8,4,1992,2,RTTP,52,15,1992,4,2
8,4,1992,2,RTTP,52,15,1993,1,1
8,4,1992,2,RTTP,52,15,1993,3,1
8,4,1992,2,RTTP,52,16,1992,2,1
8,4,1992,2,RTTP,52,16,1993,3,1
8,4,1992,2,RTTP,54,13,1992,2,3
8,4,1992,2,RTTP,54,13,1992,4,3
8,4,1992,2,RTTP,54,13,1993,1,1
8,4,1992,2,RTTP,54,15,1992,2,3
8,4,1992,2,RTTP,54,15,1993,1,1
8,4,1992,2,RTTP,54,15,1993,3,1
8,4,1992,2,RTTP,54,16,1992,2,2
8,4,1992,2,RTTP,54,16,1993,2,1
8,4,1992,2,RTTP,56,9,1994,1,1
8,4,1992,2,RTTP,56,13,1992,2,1
8,4,1992,2,RTTP,56,13,1992,3,1
8,4,1992,2,RTTP,56,13,1993,3,1
8,4,1992,2,RTTP,56,14,1992,2,1
8,4,1992,2,RTTP,56,16,1992,2,1
8,4,1992,2,RTTP,58,9,1997,4,1
8,4,1992,2,RTTP,58,13,1992,2,1
8,4,1992,2,RTTP,58,15,1992,4,2
8,4,1992,2,RTTP,58,15,1993,1,1
8,4,1992,2,RTTP,58,16,1992,2,1
8,4,1992,2,RTTP,94,9,1995,4,1
8,4,1992,2,RTTP,100,4,2001,1,1
8,4,1992,2,RTTP,104,4,1994,2,1
9,5,1991,1,RTTP,56,10,1991,1,1
9,5,1991,1,RTTP,58,8,2000,2,1
9,5,1991,1,RTTP,58,17,1992,1,1
9,5,1991,1,RTTP,58,25,1991,1,1
9,5,1991,1,RTTP,58,25,1991,3,1
9,5,1991,1,RTTP,58,26,1991,1,1
9,5,1991,1,RTTP,60,10,1991,1,1
9,5,1991,1,RTTP,60,25,1991,1,1
9,5,1991,1,RTTP,60,25,1991,4,1
9,5,1991,1,RTTP,60,26,1991,4,1
9,5,1991,1,RTTP,62,25,1991,1,1
9,5,1991,1,RTTP,62,26,1992,1,1
9,5,1991,1,RTTP,64,26,1991,4,1
9,5,1991,1,RTTP,66,25,1991,4,1
9,5,1991,1,RTTP,66,26,1991,1,1
9,5,1991,1,RTTP,68,10,1991,1,1
9,5,1991,1,RTTP,68,25,1991,1,1
9,5,1991,1,RTTP,68,26,1991,1,1
9,5,1991,1,RTTP,70,25,1991,1,4
9,5,1991,1,RTTP,70,26,1991,4,4
9,5,1991,1,RTTP,72,10,1991,1,1
9,5,1991,1,RTTP,72,25,1991,1,1
9,5,1991,1,RTTP,72,26,1991,1,1
9,5,1991,1,RTTP,72,26,1991,4,2
9,5,1991,1,RTTP,74,26,1991,4,1
10,6,2000,4,RTTP,96,12,2013,1,1
10,6,2000,4,RTTP,102,12,2000,4,1
10,6,2000,4,RTTP,108,9,2004,3,1
10,6,2000,4,RTTP,110,12,2000,4,1
11,7,1990,3,RTTP,34,23,1991,4,1
11,7,1990,3,RTTP,34,24,1990,3,1
11,7,1990,3,RTTP,38,25,1991,2,1
11,7,1990,3,RTTP,40,28,1991,2,1
11,7,1990,3,RTTP,44,7,1991,3,1
11,7,1990,3,RTTP,50,17,1990,3,1
12,7,1991,1,RTTP,30,28,1991,1,1
12,7,1991,1,RTTP,32,28,1991,1,2
12,7,1991,1,RTTP,32,28,1991,4,1
12,7,1991,1,RTTP,38,28,1991,1,3
12,7,1991,1,RTTP,42,23,1991,1,1
13,7,1991,2,RTTP,34,13,1992,2,1
13,7,1991,2,RTTP,38,17,1991,2,1
13,7,1991,2,RTTP,42,17,1992,3,1
14,7,1992,3,RTTP,24,17,1992,3,6
14,7,1992,3,RTTP,26,17,1992,3,14
14,7,1992,3,RTTP,28,17,1992,3,113
14,7,1992,3,RTTP,28,17,1993,1,1
14,7,1992,3,RTTP,28,24,1992,3,2
14,7,1992,3,RTTP,30,17,1992,3,73
14,7,1992,3,RTTP,30,17,1993,1,1
14,7,1992,3,RTTP,30,24,1992,3,1
14,7,1992,3,RTTP,32,17,1992,3,17
14,7,1992,3,RTTP,32,17,1993,2,1
14,7,1992,3,RTTP,34,17,1992,3,17
14,7,1992,3,RTTP,36,17,1992,3,5
14,7,1992,3,RTTP,36,17,1992,4,1
14,7,1992,3,RTTP,38,28,1992,3,1
14,7,1992,3,RTTP,44,17,1992,3,1
15,7,1992,4,RTTP,26,17,1992,4,4
15,7,1992,4,RTTP,28,17,1992,4,8
15,7,1992,4,RTTP,30,17,1992,4,4
15,7,1992,4,RTTP,30,17,1993,2,1
15,7,1992,4,RTTP,30,24,1992,4,1
15,7,1992,4,RTTP,32,17,1992,4,9
15,7,1992,4,RTTP,34,17,1992,4,6
15,7,1992,4,RTTP,36,17,1992,4,26
15,7,1992,4,RTTP,36,17,1993,2,1
15,7,1992,4,RTTP,38,17,1992,4,25
15,7,1992,4,RTTP,40,17,1992,4,10
15,7,1992,4,RTTP,42,17,1992,4,4
15,7,1992,4,RTTP,46,17,1992,4,3
15,7,1992,4,RTTP,48,17,1992,4,1
16,8,1989,4,RTTP,36,25,1989,4,1
16,8,1989,4,RTTP,36,25,1990,1,1
16,8,1989,4,RTTP,38,25,1989,4,3
16,8,1989,4,RTTP,38,25,1991,4,1
16,8,1989,4,RTTP,46,25,1989,4,1
16,8,1989,4,RTTP,48,4,1992,1,1
17,8,1990,1,RTTP,46,25,1990,4,1
17,8,1990,1,RTTP,48,13,1990,1,2
17,8,1990,1,RTTP,48,13,1990,3,1
17,8,1990,1,RTTP,48,13,1990,4,2
17,8,1990,1,RTTP,48,15,1990,3,1
17,8,1990,1,RTTP,48,24,1990,3,1
17,8,1990,1,RTTP,48,25,1990,1,1
17,8,1990,1,RTTP,48,25,1990,2,1
17,8,1990,1,RTTP,48,25,1990,3,3
17,8,1990,1,RTTP,50,13,1990,1,1
17,8,1990,1,RTTP,50,13,1990,3,2
17,8,1990,1,RTTP,50,25,1990,4,1
17,8,1990,1,RTTP,50,26,1990,1,1
18,8,1990,2,RTTP,44,13,1991,2,1
18,8,1990,2,RTTP,54,13,1990,2,1
18,8,1990,2,RTTP,54,13,1991,3,1
18,8,1990,2,RTTP,54,25,1990,2,5
18,8,1990,2,RTTP,54,26,1990,2,1
18,8,1990,2,RTTP,56,13,1990,2,1
18,8,1990,2,RTTP,56,13,1991,1,1
18,8,1990,2,RTTP,56,25,1990,2,8
18,8,1990,2,RTTP,56,25,1991,3,1
18,8,1990,2,RTTP,56,26,1990,2,1
18,8,1990,2,RTTP,58,13,1990,2,1
18,8,1990,2,RTTP,58,13,1990,3,1
18,8,1990,2,RTTP,58,13,1990,4,2
18,8,1990,2,RTTP,58,13,1991,3,1
18,8,1990,2,RTTP,58,25,1990,2,1
18,8,1990,2,RTTP,58,26,1990,2,1
19,8,1991,1,RTTP,32,15,1992,1,1
19,8,1991,1,RTTP,48,26,1991,1,1
20,8,1992,3,RTTP,56,13,1992,3,1
20,8,1992,3,RTTP,56,26,1992,3,1
20,8,1992,3,RTTP,58,13,1993,1,1
20,8,1992,3,RTTP,60,13,1993,1,1
21,9,1991,4,RTTP,58,27,1995,3,1
21,9,1991,4,RTTP,60,4,1995,4,1
21,9,1991,4,RTTP,60,9,1998,1,1
21,9,1991,4,RTTP,60,9,2003,3,1
21,9,1991,4,RTTP,60,27,1996,1,1
21,9,1991,4,RTTP,62,25,1992,2,1
21,9,1991,4,RTTP,62,27,1991,4,1
21,9,1991,4,RTTP,62,27,1994,3,1
21,9,1991,4,RTTP,64,4,1998,2,1
21,9,1991,4,RTTP,64,9,1995,2,1
21,9,1991,4,RTTP,64,27,1991,4,1
21,9,1991,4,RTTP,64,27,1995,2,1
21,9,1991,4,RTTP,64,27,1995,3,1
21,9,1991,4,RTTP,64,27,1996,1,1
21,9,1991,4,RTTP,64,27,1997,4,1
21,9,1991,4,RTTP,64,27,1998,1,2
21,9,1991,4,RTTP,64,27,2005,3,1
21,9,1991,4,RTTP,66,27,1991,4,1
21,9,1991,4,RTTP,66,27,1993,3,1
21,9,1991,4,RTTP,66,27,1994,3,2
21,9,1991,4,RTTP,66,27,1996,4,1
21,9,1991,4,RTTP,66,27,2000,3,1
21,9,1991,4,RTTP,68,8,1998,1,1
21,9,1991,4,RTTP,68,9,1993,2,1
21,9,1991,4,RTTP,68,11,1994,3,1
21,9,1991,4,RTTP,68,11,1997,2,1
21,9,1991,4,RTTP,68,27,1991,4,1
21,9,1991,4,RTTP,68,27,1993,2,1
21,9,1991,4,RTTP,68,27,1995,3,1
21,9,1991,4,RTTP,68,27,1997,4,1
21,9,1991,4,RTTP,70,9,1994,2,1
21,9,1991,4,RTTP,70,9,1994,3,1
21,9,1991,4,RTTP,70,27,1992,2,1
21,9,1991,4,RTTP,70,27,1993,3,2
21,9,1991,4,RTTP,72,27,1991,4,1
21,9,1991,4,RTTP,74,11,1997,2,1
21,9,1991,4,RTTP,74,27,1991,4,2
21,9,1991,4,RTTP,74,27,1994,3,1
21,9,1991,4,RTTP,74,27,1994,4,1
21,9,1991,4,RTTP,74,27,1995,3,1
21,9,1991,4,RTTP,74,27,1996,2,1
21,9,1991,4,RTTP,76,11,1993,1,1
21,9,1991,4,RTTP,76,12,1994,3,1
21,9,1991,4,RTTP,76,27,1992,3,1
21,9,1991,4,RTTP,76,27,1993,1,1
21,9,1991,4,RTTP,76,27,1994,3,1
21,9,1991,4,RTTP,76,27,1995,2,2
21,9,1991,4,RTTP,76,27,1996,2,1
21,9,1991,4,RTTP,78,4,1996,2,1
21,9,1991,4,RTTP,78,9,1994,2,1
21,9,1991,4,RTTP,78,9,1998,1,1
21,9,1991,4,RTTP,78,10,1999,3,1
21,9,1991,4,RTTP,78,27,1991,4,3
21,9,1991,4,RTTP,78,27,1992,3,1
21,9,1991,4,RTTP,78,27,1994,2,2
21,9,1991,4,RTTP,78,27,1994,3,1
21,9,1991,4,RTTP,78,27,1995,2,4
21,9,1991,4,RTTP,78,27,1995,3,3
21,9,1991,4,RTTP,78,27,1996,2,2
21,9,1991,4,RTTP,78,27,1996,3,1
21,9,1991,4,RTTP,78,27,1997,2,1
21,9,1991,4,RTTP,78,27,1997,4,1
21,9,1991,4,RTTP,78,27,1998,2,1
21,9,1991,4,RTTP,78,27,2000,3,1
21,9,1991,4,RTTP,80,9,1993,2,1
21,9,1991,4,RTTP,80,9,1998,2,1
21,9,1991,4,RTTP,80,11,1993,3,1
21,9,1991,4,RTTP,80,11,1994,1,1
21,9,1991,4,RTTP,80,11,1994,3,1
21,9,1991,4,RTTP,80,12,1997,2,1
21,9,1991,4,RTTP,80,25,1991,4,1
21,9,1991,4,RTTP,80,27,1991,4,8
21,9,1991,4,RTTP,80,27,1992,2,1
21,9,1991,4,RTTP,80,27,1992,3,1
21,9,1991,4,RTTP,80,27,1993,1,1
21,9,1991,4,RTTP,80,27,1993,2,2
21,9,1991,4,RTTP,80,27,1993,3,3
21,9,1991,4,RTTP,80,27,1994,2,2
21,9,1991,4,RTTP,80,27,1994,3,4
21,9,1991,4,RTTP,80,27,1995,2,3
21,9,1991,4,RTTP,80,27,1996,2,2
21,9,1991,4,RTTP,80,27,1996,3,2
21,9,1991,4,RTTP,80,27,1997,2,1
21,9,1991,4,RTTP,80,27,1997,3,1
21,9,1991,4,RTTP,80,27,1997,4,1
21,9,1991,4,RTTP,80,27,1999,2,1
21,9,1991,4,RTTP,82,8,1994,3,1
21,9,1991,4,RTTP,82,10,1998,1,1
21,9,1991,4,RTTP,82,11,1994,2,1
21,9,1991,4,RTTP,82,27,1991,4,2
21,9,1991,4,RTTP,82,27,1992,4,1
21,9,1991,4,RTTP,82,27,1994,2,1
21,9,1991,4,RTTP,82,27,1994,3,4
21,9,1991,4,RTTP,82,27,1995,2,6
21,9,1991,4,RTTP,82,27,1995,4,1
21,9,1991,4,RTTP,82,27,1997,4,1
21,9,1991,4,RTTP,82,27,2000,4,1
21,9,1991,4,RTTP,84,10,1998,3,1
21,9,1991,4,RTTP,84,11,1994,3,1
21,9,1991,4,RTTP,84,11,2002,3,1
21,9,1991,4,RTTP,84,27,1991,4,3
21,9,1991,4,RTTP,84,27,1992,3,1
21,9,1991,4,RTTP,84,27,1994,2,4
21,9,1991,4,RTTP,84,27,1994,3,1
21,9,1991,4,RTTP,84,27,1995,2,4
21,9,1991,4,RTTP,84,27,1995,3,4
21,9,1991,4,RTTP,84,27,1996,2,1
21,9,1991,4,RTTP,84,27,1997,2,2
21,9,1991,4,RTTP,84,27,1998,1,1
21,9,1991,4,RTTP,86,11,1994,3,1
21,9,1991,4,RTTP,86,27,1991,4,4
21,9,1991,4,RTTP,86,27,1994,2,1
21,9,1991,4,RTTP,86,27,1994,3,2
21,9,1991,4,RTTP,86,27,1995,2,1
21,9,1991,4,RTTP,86,27,1995,4,1
21,9,1991,4,RTTP,88,4,1994,3,1
21,9,1991,4,RTTP,88,11,1993,2,1
21,9,1991,4,RTTP,88,27,1991,4,7
21,9,1991,4,RTTP,88,27,1992,3,1
21,9,1991,4,RTTP,88,27,1993,2,1
21,9,1991,4,RTTP,88,27,1994,2,2
21,9,1991,4,RTTP,88,27,1995,2,1
21,9,1991,4,RTTP,88,27,1996,4,1
21,9,1991,4,RTTP,88,27,1999,2,1
21,9,1991,4,RTTP,90,4,1996,2,2
21,9,1991,4,RTTP,90,9,1994,3,1
21,9,1991,4,RTTP,90,25,1991,4,1
21,9,1991,4,RTTP,90,25,1992,2,1
21,9,1991,4,RTTP,90,27,1991,4,2
21,9,1991,4,RTTP,90,27,1992,2,2
21,9,1991,4,RTTP,90,27,1993,2,1
21,9,1991,4,RTTP,90,27,1993,3,1
21,9,1991,4,RTTP,90,27,1994,2,1
21,9,1991,4,RTTP,90,27,1994,4,1
21,9,1991,4,RTTP,90,27,1995,3,1
21,9,1991,4,RTTP,90,27,1996,1,1
21,9,1991,4,RTTP,90,27,1996,2,1
21,9,1991,4,RTTP,90,27,1998,1,1
21,9,1991,4,RTTP,92,11,1993,1,1
21,9,1991,4,RTTP,92,11,1998,3,1
21,9,1991,4,RTTP,92,27,1991,4,2
21,9,1991,4,RTTP,92,27,1993,2,1
21,9,1991,4,RTTP,92,27,1993,3,1
21,9,1991,4,RTTP,92,27,1995,2,1
21,9,1991,4,RTTP,92,27,1996,4,1
21,9,1991,4,RTTP,92,27,1997,4,1
21,9,1991,4,RTTP,94,9,1997,3,1
21,9,1991,4,RTTP,94,27,1991,4,1
21,9,1991,4,RTTP,94,27,1993,2,1
21,9,1991,4,RTTP,94,27,1994,2,1
21,9,1991,4,RTTP,94,27,1994,4,1
21,9,1991,4,RTTP,94,27,1995,2,1
21,9,1991,4,RTTP,94,27,1996,2,1
21,9,1991,4,RTTP,94,27,1996,4,1
21,9,1991,4,RTTP,94,27,1998,3,1
21,9,1991,4,RTTP,96,27,1991,4,2
21,9,1991,4,RTTP,96,27,1992,3,1
21,9,1991,4,RTTP,96,27,1993,4,1
21,9,1991,4,RTTP,96,27,1994,3,1
21,9,1991,4,RTTP,96,27,1995,2,2
21,9,1991,4,RTTP,96,27,1995,3,1
21,9,1991,4,RTTP,96,27,1995,4,1
21,9,1991,4,RTTP,96,27,1996,3,2
21,9,1991,4,RTTP,96,27,1998,4,1
21,9,1991,4,RTTP,98,10,1998,4,1
21,9,1991,4,RTTP,98,27,1995,2,1
21,9,1991,4,RTTP,98,27,1995,3,1
21,9,1991,4,RTTP,98,27,1997,4,2
21,9,1991,4,RTTP,98,27,1998,1,1
21,9,1991,4,RTTP,98,27,1998,4,1
21,9,1991,4,RTTP,100,11,1992,3,1
21,9,1991,4,RTTP,100,27,1991,4,3
21,9,1991,4,RTTP,100,27,1993,3,1
21,9,1991,4,RTTP,100,27,1994,2,1
21,9,1991,4,RTTP,100,27,1994,3,2
21,9,1991,4,RTTP,100,27,1996,3,1
21,9,1991,4,RTTP,102,4,1994,2,1
21,9,1991,4,RTTP,102,27,1994,3,1
21,9,1991,4,RTTP,102,27,1995,2,1
21,9,1991,4,RTTP,104,27,1993,3,1
21,9,1991,4,RTTP,116,4,1992,4,1
21,9,1991,4,RTTP,126,27,1996,4,1
21,9,1991,4,RTTP,128,4,1993,2,1
22,9,1992,4,RTTP,56,27,1995,3,1
22,9,1992,4,RTTP,60,27,1994,2,1
22,9,1992,4,RTTP,62,27,1995,4,1
22,9,1992,4,RTTP,62,27,1997,2,1
22,9,1992,4,RTTP,64,11,1992,4,1
22,9,1992,4,RTTP,64,27,1992,4,1
22,9,1992,4,RTTP,64,27,1994,3,1
22,9,1992,4,RTTP,64,27,1995,2,1
22,9,1992,4,RTTP,66,27,1994,2,1
22,9,1992,4,RTTP,66,27,1994,3,1
22,9,1992,4,RTTP,66,27,1997,2,1
22,9,1992,4,RTTP,66,27,1998,1,1
22,9,1992,4,RTTP,68,27,1995,1,1
22,9,1992,4,RTTP,68,27,1997,4,2
22,9,1992,4,RTTP,70,27,1994,2,1
22,9,1992,4,RTTP,70,27,1995,3,1
22,9,1992,4,RTTP,72,11,1993,3,1
22,9,1992,4,RTTP,72,27,1993,3,1
22,9,1992,4,RTTP,72,27,1998,3,1
22,9,1992,4,RTTP,72,27,2001,3,1
22,9,1992,4,RTTP,88,27,1995,4,1
22,9,1992,4,RTTP,92,9,1996,3,1
22,9,1992,4,RTTP,92,27,1992,4,1
22,9,1992,4,RTTP,92,27,1995,3,1
22,9,1992,4,RTTP,94,25,1993,3,1
22,9,1992,4,RTTP,94,27,1997,4,1
22,9,1992,4,RTTP,96,27,1997,4,1
22,9,1992,4,RTTP,96,27,1998,3,1
22,9,1992,4,RTTP,98,10,1998,1,1
22,9,1992,4,RTTP,98,11,1996,2,1
22,9,1992,4,RTTP,100,27,1995,3,1
22,9,1992,4,RTTP,102,27,1993,1,1
22,9,1992,4,RTTP,108,27,1995,2,1
22,9,1992,4,RTTP,110,11,1994,3,1
22,9,1992,4,RTTP,112,10,1999,3,1
22,9,1992,4,RTTP,120,27,1997,4,1
23,9,1995,4,RTTP,60,27,1998,4,1
23,9,1995,4,RTTP,62,27,1997,2,1
23,9,1995,4,RTTP,64,27,1997,4,1
23,9,1995,4,RTTP,64,27,2001,4,1
23,9,1995,4,RTTP,74,10,1997,3,1
23,9,1995,4,RTTP,74,27,1997,3,1
23,9,1995,4,RTTP,76,10,2002,2,1
23,9,1995,4,RTTP,76,27,1996,4,1
23,9,1995,4,RTTP,76,27,1997,4,1
23,9,1995,4,RTTP,78,10,1998,1,1
23,9,1995,4,RTTP,78,27,1997,1,1
23,9,1995,4,RTTP,78,27,1997,4,1
23,9,1995,4,RTTP,78,27,1998,1,1
23,9,1995,4,RTTP,78,27,2000,4,1
23,9,1995,4,RTTP,80,27,1997,4,2
23,9,1995,4,RTTP,80,27,1998,4,1
23,9,1995,4,RTTP,82,10,2001,1,1
23,9,1995,4,RTTP,82,27,1996,2,1
23,9,1995,4,RTTP,84,27,1997,4,1
23,9,1995,4,RTTP,108,27,1996,2,1
23,9,1995,4,RTTP,112,10,2001,2,1
23,9,1995,4,RTTP,124,27,2002,2,1
24,9,1999,4,RTTP,74,27,2000,4,2
24,9,1999,4,RTTP,76,27,2000,4,1
24,9,1999,4,RTTP,78,27,2003,2,1
24,9,1999,4,RTTP,84,27,2000,4,1
24,9,1999,4,RTTP,86,27,2003,2,2
25,9,2001,4,RTTP,70,27,2001,4,2
25,9,2001,4,RTTP,76,9,2004,4,2
25,9,2001,4,RTTP,76,27,2001,4,5
25,9,2001,4,RTTP,76,27,2002,3,4
25,9,2001,4,RTTP,76,27,2002,4,4
25,9,2001,4,RTTP,78,27,2001,4,4
25,9,2001,4,RTTP,78,27,2002,3,4
25,9,2001,4,RTTP,78,27,2002,4,6
25,9,2001,4,RTTP,80,10,2002,2,2
25,9,2001,4,RTTP,80,27,2001,4,4
25,9,2001,4,RTTP,80,27,2002,3,14
25,9,2001,4,RTTP,80,27,2003,3,2
25,9,2001,4,RTTP,82,27,2002,2,3
25,9,2001,4,RTTP,82,27,2002,3,4
25,9,2001,4,RTTP,82,27,2002,4,8
25,9,2001,4,RTTP,82,27,2003,1,2
25,9,2001,4,RTTP,82,27,2003,2,2
25,9,2001,4,RTTP,84,27,2002,3,2
25,9,2001,4,RTTP,84,27,2002,4,5
25,9,2001,4,RTTP,84,27,2003,3,2
25,9,2001,4,RTTP,86,11,2003,2,2
25,9,2001,4,RTTP,86,27,2002,3,2
25,9,2001,4,RTTP,86,27,2003,3,4
25,9,2001,4,RTTP,88,4,2003,4,2
25,9,2001,4,RTTP,88,27,2001,4,2
25,9,2001,4,RTTP,88,27,2002,4,4
25,9,2001,4,RTTP,90,27,2002,2,2
25,9,2001,4,RTTP,90,27,2002,4,2
25,9,2001,4,RTTP,92,27,2002,3,4
25,9,2001,4,RTTP,92,27,2003,1,2
25,9,2001,4,RTTP,94,10,2002,2,2
25,9,2001,4,RTTP,94,27,2002,3,4
25,9,2001,4,RTTP,98,27,2002,3,2
25,9,2001,4,RTTP,100,27,2002,3,1
25,9,2001,4,RTTP,102,27,2002,3,2
