year,season,area,sb
1952,1,1,370570
1953,1,1,379390
1954,1,1,374870
1955,1,1,367970
1956,1,1,380040
1957,1,1,407520
1958,1,1,420730
1959,1,1,393760
1960,1,1,346450
1961,1,1,334080
1962,1,1,301850
1963,1,1,280140
1964,1,1,258930
1965,1,1,240060
1966,1,1,220540
1967,1,1,204950
1968,1,1,180640
1969,1,1,180140
1970,1,1,172260
1971,1,1,159810
1972,1,1,160780
1973,1,1,151120
1974,1,1,146700
1975,1,1,153090
1976,1,1,147430
1977,1,1,142370
1978,1,1,171960
1979,1,1,163870
1980,1,1,160970
1981,1,1,150350
1982,1,1,141170
1983,1,1,135590
1984,1,1,135960
1985,1,1,136860
1986,1,1,128360
1987,1,1,126970
1988,1,1,138250
1989,1,1,128640
1990,1,1,129840
1991,1,1,140570
1992,1,1,136890
1993,1,1,130920
1994,1,1,119160
1995,1,1,121670
1996,1,1,109790
1997,1,1,103450
1998,1,1,99669
1999,1,1,101570
2000,1,1,95728
2001,1,1,94422
2002,1,1,94181
2003,1,1,102720
2004,1,1,99155
2005,1,1,105480
2006,1,1,101080
2007,1,1,111240
2008,1,1,99950
2009,1,1,93568
2010,1,1,92120
2011,1,1,86898
2012,1,1,89226
2013,1,1,81663
2014,1,1,79861
2015,1,1,92896
2016,1,1,93992
2017,1,1,85341
2018,1,1,85511
2019,1,1,95721
2020,1,1,96308
2021,1,1,90423
1952,2,1,377010
1953,2,1,370670
1954,2,1,365840
1955,2,1,357120
1956,2,1,375090
1957,2,1,406580
1958,2,1,409250
1959,2,1,374920
1960,2,1,327660
1961,2,1,324220
1962,2,1,287490
1963,2,1,271910
1964,2,1,250580
1965,2,1,231050
1966,2,1,214220
1967,2,1,194660
1968,2,1,175220
1969,2,1,177720
1970,2,1,164830
1971,2,1,156080
1972,2,1,158760
1973,2,1,144610
1974,2,1,147960
1975,2,1,152280
1976,2,1,143200
1977,2,1,150300
1978,2,1,170720
1979,2,1,160900
1980,2,1,158250
1981,2,1,146230
1982,2,1,138550
1983,2,1,133360
1984,2,1,136630
1985,2,1,133280
1986,2,1,124490
1987,2,1,129480
1988,2,1,136590
1989,2,1,125630
1990,2,1,133100
1991,2,1,140080
1992,2,1,135760
1993,2,1,126700
1994,2,1,118270
1995,2,1,120220
1996,2,1,105670
1997,2,1,103010
1998,2,1,98334
1999,2,1,99736
2000,2,1,94293
2001,2,1,92289
2002,2,1,96215
2003,2,1,101710
2004,2,1,100220
2005,2,1,103080
2006,2,1,104850
2007,2,1,108790
2008,2,1,97834
2009,2,1,92358
2010,2,1,90573
2011,2,1,87460
2012,2,1,87995
2013,2,1,79498
2014,2,1,82615
2015,2,1,93948
2016,2,1,92272
2017,2,1,83789
2018,2,1,86708
2019,2,1,97900
2020,2,1,94131
2021,2,1,88287
1952,3,1,289060
1953,3,1,283720
1954,3,1,279060
1955,3,1,273630
1956,3,1,290860
1957,3,1,316370
1958,3,1,311880
1959,3,1,280030
1960,3,1,250530
1961,3,1,243730
1962,3,1,216210
1963,3,1,206350
1964,3,1,190070
1965,3,1,173550
1966,3,1,162440
1967,3,1,144960
1968,3,1,134240
1969,3,1,135880
1970,3,1,123410
1971,3,1,119670
1972,3,1,121260
1973,3,1,109620
1974,3,1,116390
1975,3,1,118050
1976,3,1,108780
1977,3,1,125150
1978,3,1,130980
1979,3,1,124070
1980,3,1,120710
1981,3,1,111430
1982,3,1,106080
1983,3,1,102800
1984,3,1,106900
1985,3,1,101010
1986,3,1,94899
1987,3,1,103120
1988,3,1,103830
1989,3,1,96799
1990,3,1,106160
1991,3,1,108320
1992,3,1,104600
1993,3,1,95557
1994,3,1,92665
1995,3,1,91283
1996,3,1,80280
1997,3,1,79287
1998,3,1,76558
1999,3,1,75795
2000,3,1,72895
2001,3,1,70694
2002,3,1,76228
2003,3,1,75923
2004,3,1,79084
2005,3,1,77441
2006,3,1,84576
2007,3,1,81970
2008,3,1,74695
2009,3,1,71655
2010,3,1,68956
2011,3,1,69014
2012,3,1,66910
2013,3,1,60630
2014,3,1,67049
2015,3,1,73124
2016,3,1,69680
2017,3,1,64550
2018,3,1,69388
2019,3,1,77414
2020,3,1,72178
2021,3,1,67724
1952,4,1,351400
1953,4,1,346330
1954,4,1,341180
1955,4,1,342780
1956,4,1,366900
1957,4,1,390220
1958,4,1,373350
1959,4,1,329700
1960,4,1,308120
1961,4,1,287860
1962,4,1,259960
1963,4,1,244640
1964,4,1,225570
1965,4,1,206440
1966,4,1,193920
1967,4,1,171720
1968,4,1,165030
1969,4,1,163100
1970,4,1,149080
1971,4,1,147550
1972,4,1,143940
1973,4,1,133240
1974,4,1,140620
1975,4,1,139130
1976,4,1,128930
1977,4,1,156120
1978,4,1,153960
1979,4,1,148890
1980,4,1,141940
1981,4,1,131920
1982,4,1,126150
1983,4,1,124440
1984,4,1,128280
1985,4,1,120640
1986,4,1,115510
1987,4,1,127020
1988,4,1,121840
1989,4,1,117560
1990,4,1,129050
1991,4,1,127930
1992,4,1,123720
1993,4,1,112280
1994,4,1,112200
1995,4,1,105450
1996,4,1,95540
1997,4,1,93666
1998,4,1,93810
1999,4,1,90323
2000,4,1,88269
2001,4,1,86027
2002,4,1,94103
2003,4,1,91605
2004,4,1,98016
2005,4,1,92393
2006,4,1,103540
2007,4,1,95059
2008,4,1,88177
2009,4,1,86312
2010,4,1,81181
2011,4,1,83127
2012,4,1,77925
2013,4,1,72713
2014,4,1,83777
2015,4,1,87626
2016,4,1,80962
2017,4,1,78163
2018,4,1,85781
2019,4,1,91100
2020,4,1,84917
2021,4,1,79010
1952,1,2,1009700
1953,1,2,1016700
1954,1,2,1029200
1955,1,2,1034400
1956,1,2,1086700
1957,1,2,1169900
1958,1,2,1143600
1959,1,2,1024300
1960,1,2,923840
1961,1,2,899590
1962,1,2,814640
1963,1,2,732360
1964,1,2,653820
1965,1,2,612040
1966,1,2,584340
1967,1,2,548180
1968,1,2,503640
1969,1,2,485740
1970,1,2,473410
1971,1,2,458440
1972,1,2,437460
1973,1,2,390580
1974,1,2,356460
1975,1,2,340390
1976,1,2,327310
1977,1,2,321810
1978,1,2,366180
1979,1,2,368800
1980,1,2,369060
1981,1,2,350050
1982,1,2,329200
1983,1,2,328520
1984,1,2,330500
1985,1,2,332900
1986,1,2,332540
1987,1,2,321790
1988,1,2,322970
1989,1,2,304470
1990,1,2,297220
1991,1,2,302370
1992,1,2,294520
1993,1,2,297250
1994,1,2,281260
1995,1,2,270890
1996,1,2,255720
1997,1,2,254360
1998,1,2,265340
1999,1,2,269210
2000,1,2,257810
2001,1,2,243010
2002,1,2,239200
2003,1,2,266270
2004,1,2,261960
2005,1,2,267180
2006,1,2,248990
2007,1,2,244280
2008,1,2,232780
2009,1,2,219270
2010,1,2,209490
2011,1,2,198650
2012,1,2,198780
2013,1,2,191420
2014,1,2,188020
2015,1,2,203670
2016,1,2,207990
2017,1,2,200970
2018,1,2,196900
2019,1,2,198070
2020,1,2,199970
2021,1,2,197120
1952,2,2,1017200
1953,2,2,1031000
1954,2,2,1046100
1955,2,2,1044300
1956,2,2,1126200
1957,2,2,1194800
1958,2,2,1129100
1959,2,2,1004700
1960,2,2,922260
1961,2,2,894820
1962,2,2,797170
1963,2,2,717390
1964,2,2,645340
1965,2,2,613140
1966,2,2,582340
1967,2,2,543300
1968,2,2,500550
1969,2,2,487540
1970,2,2,475120
1971,2,2,459880
1972,2,2,432170
1973,2,2,380620
1974,2,2,355120
1975,2,2,340000
1976,2,2,324190
1977,2,2,337340
1978,2,2,370340
1979,2,2,371120
1980,2,2,368930
1981,2,2,345060
1982,2,2,330770
1983,2,2,330920
1984,2,2,334230
1985,2,2,336120
1986,2,2,331490
1987,2,2,322890
1988,2,2,320500
1989,2,2,299940
1990,2,2,301320
1991,2,2,299720
1992,2,2,296880
1993,2,2,296210
1994,2,2,277110
1995,2,2,269680
1996,2,2,253940
1997,2,2,261040
1998,2,2,269240
1999,2,2,271450
2000,2,2,256430
2001,2,2,241180
2002,2,2,248240
2003,2,2,269400
2004,2,2,264870
2005,2,2,264590
2006,2,2,249390
2007,2,2,242940
2008,2,2,230450
2009,2,2,219180
2010,2,2,208210
2011,2,2,199660
2012,2,2,198260
2013,2,2,190080
2014,2,2,193100
2015,2,2,207010
2016,2,2,208080
2017,2,2,200950
2018,2,2,197640
2019,2,2,199780
2020,2,2,200400
2021,2,2,194460
1952,3,2,1073300
1953,3,2,1086200
1954,3,2,1099300
1955,3,2,1101900
1956,3,2,1201900
1957,3,2,1251700
1958,3,2,1155000
1959,3,2,1028100
1960,3,2,962370
1961,3,2,917170
1962,3,2,813010
1963,3,2,731740
1964,3,2,664740
1965,3,2,636770
1966,3,2,601660
1967,3,2,557000
1968,3,2,519090
1969,3,2,508350
1970,3,2,493270
1971,3,2,477520
1972,3,2,442200
1973,3,2,389360
1974,3,2,369590
1975,3,2,356240
1976,3,2,337050
1977,3,2,372130
1978,3,2,391630
1979,3,2,391770
1980,3,2,384110
1981,3,2,355650
1982,3,2,348080
1983,3,2,347980
1984,3,2,352830
1985,3,2,353840
1986,3,2,343400
1987,3,2,340290
1988,3,2,333830
1989,3,2,312660
1990,3,2,320960
1991,3,2,314400
1992,3,2,315420
1993,3,2,308680
1994,3,2,289680
1995,3,2,281020
1996,3,2,265000
1997,3,2,277810
1998,3,2,283270
1999,3,2,281380
2000,3,2,265200
2001,3,2,249800
2002,3,2,268500
2003,3,2,282650
2004,3,2,281120
2005,3,2,273640
2006,3,2,263220
2007,3,2,253480
2008,3,2,239000
2009,3,2,228370
2010,3,2,215460
2011,3,2,210580
2012,3,2,207170
2013,3,2,198520
2014,3,2,209100
2015,3,2,220630
2016,3,2,216270
2017,3,2,210450
2018,3,2,207720
2019,3,2,211670
2020,3,2,210440
2021,3,2,202390
1952,4,2,1026700
1953,4,2,1038500
1954,4,2,1048700
1955,4,2,1072400
1956,4,2,1167000
1957,4,2,1180700
1958,4,2,1069900
1959,4,2,955760
1960,4,2,916290
1961,4,2,850020
1962,4,2,757870
1963,4,2,678180
1964,4,2,624800
1965,4,2,598540
1966,4,2,563290
1967,4,2,519030
1968,4,2,491820
1969,4,2,480580
1970,4,2,466410
1971,4,2,449610
1972,4,2,408710
1973,4,2,364410
1974,4,2,347470
1975,4,2,334870
1976,4,2,319140
1977,4,2,365230
1978,4,2,372320
1979,4,2,373360
1980,4,2,359790
1981,4,2,334320
1982,4,2,331420
1983,4,2,332060
1984,4,2,336050
1985,4,2,337020
1986,4,2,325270
1987,4,2,326010
1988,4,2,313070
1989,4,2,298180
1990,4,2,306250
1991,4,2,297230
1992,4,2,300280
1993,4,2,289290
1994,4,2,274270
1995,4,2,263180
1996,4,2,252910
1997,4,2,266410
1998,4,2,271230
1999,4,2,264040
2000,4,2,249120
2001,4,2,237750
2002,4,2,263380
2003,4,2,266770
2004,4,2,270650
2005,4,2,256030
2006,4,2,250280
2007,4,2,238210
2008,4,2,224630
2009,4,2,214600
2010,4,2,201640
2011,4,2,200950
2012,4,2,195590
2013,4,2,188770
2014,4,2,203530
2015,4,2,211170
2016,4,2,204170
2017,4,2,200160
2018,4,2,199290
2019,4,2,202500
2020,4,2,200190
2021,4,2,190180
1952,1,3,199210
1953,1,3,188230
1954,1,3,196670
1955,1,3,202850
1956,1,3,202970
1957,1,3,209770
1958,1,3,226030
1959,1,3,230030
1960,1,3,217710
1961,1,3,206670
1962,1,3,197250
1963,1,3,187760
1964,1,3,177010
1965,1,3,169370
1966,1,3,160610
1967,1,3,153600
1968,1,3,146390
1969,1,3,143940
1970,1,3,137190
1971,1,3,131630
1972,1,3,136070
1973,1,3,137070
1974,1,3,132020
1975,1,3,132390
1976,1,3,135990
1977,1,3,132320
1978,1,3,136800
1979,1,3,137740
1980,1,3,136230
1981,1,3,127420
1982,1,3,117370
1983,1,3,110510
1984,1,3,112970
1985,1,3,115700
1986,1,3,112940
1987,1,3,115750
1988,1,3,114270
1989,1,3,111530
1990,1,3,117770
1991,1,3,121500
1992,1,3,121950
1993,1,3,112570
1994,1,3,104500
1995,1,3,98112
1996,1,3,96858
1997,1,3,100160
1998,1,3,101870
1999,1,3,102280
2000,1,3,92300
2001,1,3,88001
2002,1,3,86711
2003,1,3,90958
2004,1,3,89247
2005,1,3,83933
2006,1,3,80243
2007,1,3,80085
2008,1,3,78465
2009,1,3,76918
2010,1,3,73932
2011,1,3,79961
2012,1,3,78586
2013,1,3,74540
2014,1,3,78427
2015,1,3,80107
2016,1,3,82216
2017,1,3,82334
2018,1,3,76774
2019,1,3,72181
2020,1,3,77066
2021,1,3,79963
1952,2,3,197230
1953,2,3,213850
1954,2,3,221980
1955,2,3,226370
1956,2,3,226840
1957,2,3,238210
1958,2,3,253250
1959,2,3,251060
1960,2,3,238130
1961,2,3,231020
1962,2,3,220520
1963,2,3,211660
1964,2,3,199680
1965,2,3,191390
1966,2,3,183590
1967,2,3,175120
1968,2,3,167790
1969,2,3,165030
1970,2,3,158290
1971,2,3,153980
1972,2,3,158120
1973,2,3,156750
1974,2,3,150700
1975,2,3,150980
1976,2,3,154820
1977,2,3,152290
1978,2,3,157290
1979,2,3,156110
1980,2,3,154880
1981,2,3,142320
1982,2,3,133160
1983,2,3,127700
1984,2,3,132680
1985,2,3,134140
1986,2,3,130950
1987,2,3,133730
1988,2,3,128790
1989,2,3,126030
1990,2,3,132710
1991,2,3,136550
1992,2,3,136570
1993,2,3,126770
1994,2,3,120470
1995,2,3,112120
1996,2,3,111600
1997,2,3,118870
1998,2,3,119160
1999,2,3,114960
2000,2,3,106670
2001,2,3,100100
2002,2,3,102490
2003,2,3,105090
2004,2,3,102650
2005,2,3,95808
2006,2,3,93755
2007,2,3,92555
2008,2,3,90661
2009,2,3,88294
2010,2,3,85732
2011,2,3,91361
2012,2,3,88317
2013,2,3,83770
2014,2,3,89669
2015,2,3,91015
2016,2,3,93699
2017,2,3,92520
2018,2,3,87199
2019,2,3,83835
2020,2,3,88732
2021,2,3,91236
1952,3,3,191770
1953,3,3,204940
1954,3,3,211740
1955,3,3,213030
1956,3,3,215090
1957,3,3,230930
1958,3,3,242450
1959,3,3,236300
1960,3,3,221800
1961,3,3,214720
1962,3,3,203430
1963,3,3,195070
1964,3,3,183730
1965,3,3,174450
1966,3,3,167000
1967,3,3,159170
1968,3,3,153470
1969,3,3,149800
1970,3,3,142990
1971,3,3,140490
1972,3,3,145820
1973,3,3,142680
1974,3,3,139020
1975,3,3,141670
1976,3,3,141410
1977,3,3,142490
1978,3,3,145290
1979,3,3,143650
1980,3,3,140510
1981,3,3,128290
1982,3,3,119970
1983,3,3,117220
1984,3,3,122780
1985,3,3,122340
1986,3,3,121180
1987,3,3,123270
1988,3,3,118810
1989,3,3,119700
1990,3,3,128750
1991,3,3,130110
1992,3,3,125080
1993,3,3,115560
1994,3,3,110440
1995,3,3,104620
1996,3,3,104350
1997,3,3,109480
1998,3,3,109410
1999,3,3,103130
2000,3,3,97575
2001,3,3,91637
2002,3,3,96764
2003,3,3,96239
2004,3,3,93217
2005,3,3,86756
2006,3,3,86780
2007,3,3,84260
2008,3,3,82561
2009,3,3,79838
2010,3,3,80263
2011,3,3,85245
2012,3,3,81093
2013,3,3,78237
2014,3,3,83304
2015,3,3,85095
2016,3,3,87856
2017,3,3,84722
2018,3,3,78794
2019,3,3,78852
2020,3,3,83422
2021,3,3,83125
1952,4,3,185590
1953,4,3,196450
1954,4,3,203030
1955,4,3,203510
1956,4,3,207320
1957,4,3,225570
1958,4,3,232580
1959,4,3,223260
1960,4,3,209750
1961,4,3,201690
1962,4,3,190930
1963,4,3,182110
1964,4,3,172680
1965,4,3,163420
1966,4,3,156660
1967,4,3,149130
1968,4,3,145270
1969,4,3,140080
1970,4,3,133720
1971,4,3,134600
1972,4,3,138420
1973,4,3,134080
1974,4,3,132610
1975,4,3,136160
1976,4,3,134070
1977,4,3,137100
1978,4,3,138750
1979,4,3,136600
1980,4,3,130660
1981,4,3,119860
1982,4,3,112740
1983,4,3,112610
1984,4,3,116910
1985,4,3,115160
1986,4,3,116440
1987,4,3,116870
1988,4,3,112340
1989,4,3,116120
1990,4,3,122560
1991,4,3,123590
1992,4,3,115890
1993,4,3,106770
1994,4,3,102190
1995,4,3,98943
1996,4,3,100550
1997,4,3,103800
1998,4,3,104440
1999,4,3,95126
2000,4,3,89964
2001,4,3,87177
2002,4,3,92348
2003,4,3,90827
2004,4,3,86760
2005,4,3,81208
2006,4,3,81551
2007,4,3,79005
2008,4,3,77560
2009,4,3,74600
2010,4,3,78506
2011,4,3,81082
2012,4,3,75333
2013,4,3,76537
2014,4,3,80336
2015,4,3,82661
2016,4,3,84083
2017,4,3,78802
2018,4,3,73437
2019,4,3,76866
2020,4,3,80675
2021,4,3,77380
1952,1,4,504370
1953,1,4,525520
1954,1,4,525930
1955,1,4,531020
1956,1,4,524660
1957,1,4,533430
1958,1,4,557700
1959,1,4,558820
1960,1,4,549240
1961,1,4,546000
1962,1,4,534190
1963,1,4,526830
1964,1,4,507280
1965,1,4,491640
1966,1,4,479340
1967,1,4,463320
1968,1,4,440300
1969,1,4,437140
1970,1,4,430440
1971,1,4,420050
1972,1,4,417850
1973,1,4,404670
1974,1,4,383500
1975,1,4,372410
1976,1,4,370150
1977,1,4,366110
1978,1,4,375640
1979,1,4,371970
1980,1,4,360900
1981,1,4,343510
1982,1,4,332410
1983,1,4,333670
1984,1,4,337580
1985,1,4,348540
1986,1,4,334790
1987,1,4,326370
1988,1,4,314190
1989,1,4,295000
1990,1,4,291120
1991,1,4,305440
1992,1,4,324360
1993,1,4,323170
1994,1,4,309490
1995,1,4,281150
1996,1,4,264400
1997,1,4,284960
1998,1,4,296100
1999,1,4,274410
2000,1,4,259840
2001,1,4,240880
2002,1,4,220950
2003,1,4,214110
2004,1,4,234360
2005,1,4,225660
2006,1,4,229340
2007,1,4,251920
2008,1,4,246760
2009,1,4,236030
2010,1,4,215450
2011,1,4,201110
2012,1,4,208010
2013,1,4,191130
2014,1,4,182050
2015,1,4,180990
2016,1,4,189780
2017,1,4,200290
2018,1,4,222800
2019,1,4,223980
2020,1,4,215270
2021,1,4,213270
1952,2,4,494680
1953,2,4,491590
1954,2,4,493440
1955,2,4,495590
1956,2,4,487740
1957,2,4,505490
1958,2,4,520380
1959,2,4,520720
1960,2,4,511290
1961,2,4,509930
1962,2,4,498730
1963,2,4,491150
1964,2,4,467860
1965,2,4,456620
1966,2,4,445730
1967,2,4,428290
1968,2,4,409390
1969,2,4,409170
1970,2,4,400980
1971,2,4,391400
1972,2,4,391130
1973,2,4,371620
1974,2,4,354000
1975,2,4,346690
1976,2,4,345600
1977,2,4,342980
1978,2,4,351000
1979,2,4,343980
1980,2,4,332950
1981,2,4,317800
1982,2,4,310180
1983,2,4,310910
1984,2,4,317570
1985,2,4,323390
1986,2,4,309210
1987,2,4,300480
1988,2,4,288570
1989,2,4,270180
1990,2,4,273510
1991,2,4,288420
1992,2,4,300190
1993,2,4,300660
1994,2,4,284950
1995,2,4,255970
1996,2,4,247340
1997,2,4,273850
1998,2,4,267170
1999,2,4,253390
2000,2,4,239350
2001,2,4,220520
2002,2,4,202960
2003,2,4,201000
2004,2,4,221680
2005,2,4,211280
2006,2,4,220120
2007,2,4,236340
2008,2,4,229880
2009,2,4,216790
2010,2,4,193900
2011,2,4,190080
2012,2,4,192480
2013,2,4,174710
2014,2,4,169310
2015,2,4,168220
2016,2,4,178110
2017,2,4,191530
2018,2,4,211190
2019,2,4,206370
2020,2,4,198220
2021,2,4,200560
1952,3,4,539660
1953,3,4,539270
1954,3,4,543230
1955,3,4,542340
1956,3,4,538120
1957,3,4,564860
1958,3,4,574840
1959,3,4,569670
1960,3,4,559380
1961,3,4,554740
1962,3,4,543650
1963,3,4,529840
1964,3,4,505780
1965,3,4,492380
1966,3,4,480820
1967,3,4,458840
1968,3,4,442200
1969,3,4,440830
1970,3,4,430520
1971,3,4,422450
1972,3,4,421590
1973,3,4,399570
1974,3,4,381750
1975,3,4,379080
1976,3,4,374630
1977,3,4,377230
1978,3,4,384110
1979,3,4,374460
1980,3,4,361860
1981,3,4,342590
1982,3,4,338520
1983,3,4,337930
1984,3,4,350060
1985,3,4,349340
1986,3,4,334550
1987,3,4,327210
1988,3,4,311110
1989,3,4,294970
1990,3,4,305990
1991,3,4,321380
1992,3,4,328880
1993,3,4,324880
1994,3,4,306770
1995,3,4,275220
1996,3,4,274650
1997,3,4,302310
1998,3,4,287170
1999,3,4,272690
2000,3,4,255810
2001,3,4,233050
2002,3,4,220560
2003,3,4,228160
2004,3,4,239330
2005,3,4,231870
2006,3,4,246700
2007,3,4,255410
2008,3,4,249360
2009,3,4,232380
2010,3,4,207040
2011,3,4,210110
2012,3,4,204600
2013,3,4,188960
2014,3,4,186000
2015,3,4,190090
2016,3,4,200040
2017,3,4,216050
2018,3,4,231460
2019,3,4,223000
2020,3,4,215530
2021,3,4,218330
1952,4,4,525170
1953,4,4,522660
1954,4,4,527540
1955,4,4,523710
1956,4,4,523990
1957,4,4,550220
1958,4,4,554070
1959,4,4,547770
1960,4,4,541160
1961,4,4,532880
1962,4,4,524700
1963,4,4,509650
1964,4,4,489670
1965,4,4,477150
1966,4,4,464710
1967,4,4,441110
1968,4,4,431850
1969,4,4,428390
1970,4,4,417640
1971,4,4,413050
1972,4,4,406260
1973,4,4,384760
1974,4,4,370190
1975,4,4,369500
1976,4,4,362150
1977,4,4,370820
1978,4,4,372320
1979,4,4,361100
1980,4,4,345250
1981,4,4,330050
1982,4,4,330980
1983,4,4,332010
1984,4,4,343790
1985,4,4,337020
1986,4,4,323910
1987,4,4,314590
1988,4,4,297490
1989,4,4,286230
1990,4,4,298930
1991,4,4,316300
1992,4,4,320200
1993,4,4,310850
1994,4,4,288560
1995,4,4,264010
1996,4,4,274010
1997,4,4,295290
1998,4,4,274690
1999,4,4,261030
2000,4,4,241890
2001,4,4,219780
2002,4,4,211410
2003,4,4,227470
2004,4,4,225790
2005,4,4,225750
2006,4,4,246880
2007,4,4,246460
2008,4,4,240470
2009,4,4,221820
2010,4,4,199180
2011,4,4,206470
2012,4,4,194790
2013,4,4,181260
2014,4,4,179370
2015,4,4,186730
2016,4,4,197290
2017,4,4,216490
2018,4,4,226220
2019,4,4,214880
2020,4,4,210860
2021,4,4,213230
1952,1,5,89674
1953,1,5,94952
1954,1,5,96475
1955,1,5,95694
1956,1,5,93724
1957,1,5,97397
1958,1,5,112200
1959,1,5,114040
1960,1,5,108070
1961,1,5,107510
1962,1,5,105960
1963,1,5,103180
1964,1,5,94087
1965,1,5,84863
1966,1,5,79681
1967,1,5,75363
1968,1,5,74315
1969,1,5,76035
1970,1,5,77332
1971,1,5,71406
1972,1,5,68562
1973,1,5,70147
1974,1,5,62943
1975,1,5,58712
1976,1,5,59367
1977,1,5,60168
1978,1,5,64377
1979,1,5,64974
1980,1,5,66259
1981,1,5,63609
1982,1,5,57162
1983,1,5,54034
1984,1,5,54731
1985,1,5,56003
1986,1,5,56351
1987,1,5,55292
1988,1,5,54824
1989,1,5,51023
1990,1,5,44979
1991,1,5,45550
1992,1,5,45008
1993,1,5,42367
1994,1,5,39703
1995,1,5,40165
1996,1,5,43673
1997,1,5,59046
1998,1,5,71252
1999,1,5,67016
2000,1,5,60077
2001,1,5,57174
2002,1,5,52182
2003,1,5,52256
2004,1,5,53861
2005,1,5,53889
2006,1,5,49374
2007,1,5,49321
2008,1,5,51526
2009,1,5,46229
2010,1,5,42874
2011,1,5,38259
2012,1,5,36814
2013,1,5,35555
2014,1,5,34812
2015,1,5,36811
2016,1,5,39455
2017,1,5,37248
2018,1,5,33311
2019,1,5,29925
2020,1,5,29124
2021,1,5,28536
1952,2,5,90730
1953,2,5,92807
1954,2,5,94022
1955,2,5,92508
1956,2,5,90847
1957,2,5,99131
1958,2,5,110870
1959,2,5,110270
1960,2,5,103700
1961,2,5,105510
1962,2,5,102550
1963,2,5,99390
1964,2,5,88932
1965,2,5,81441
1966,2,5,76761
1967,2,5,72962
1968,2,5,72096
1969,2,5,74866
1970,2,5,74352
1971,2,5,67976
1972,2,5,67376
1973,2,5,67017
1974,2,5,59639
1975,2,5,56728
1976,2,5,57971
1977,2,5,59485
1978,2,5,62618
1979,2,5,63444
1980,2,5,64926
1981,2,5,60245
1982,2,5,54710
1983,2,5,52332
1984,2,5,53905
1985,2,5,54898
1986,2,5,54740
1987,2,5,54149
1988,2,5,53363
1989,2,5,48477
1990,2,5,43513
1991,2,5,44877
1992,2,5,43242
1993,2,5,40621
1994,2,5,38733
1995,2,5,39274
1996,2,5,44918
1997,2,5,63114
1998,2,5,69161
1999,2,5,64248
2000,2,5,57162
2001,2,5,54919
2002,2,5,49939
2003,2,5,51658
2004,2,5,52623
2005,2,5,52229
2006,2,5,46650
2007,2,5,49775
2008,2,5,49489
