year,season,area,sb
2009,2,5,43886
2010,2,5,40997
2011,2,5,36398
2012,2,5,35945
2013,2,5,34303
2014,2,5,33838
2015,2,5,37107
2016,2,5,38455
2017,2,5,35308
2018,2,5,31467
2019,2,5,28436
2020,2,5,28641
2021,2,5,27428
1952,3,5,99698
1953,3,5,101690
1954,3,5,102530
1955,3,5,100170
1956,3,5,98720
1957,3,5,113010
1958,3,5,121700
1959,3,5,118730
1960,3,5,112180
1961,3,5,114770
1962,3,5,111110
1963,3,5,105800
1964,3,5,94188
1965,3,5,87084
1966,3,5,82237
1967,3,5,79835
1968,3,5,78908
1969,3,5,82916
1970,3,5,80172
1971,3,5,73367
1972,3,5,74609
1973,3,5,70958
1974,3,5,63666
1975,3,5,61898
1976,3,5,64217
1977,3,5,66960
1978,3,5,68415
1979,3,5,68851
1980,3,5,70487
1981,3,5,63924
1982,3,5,58791
1983,3,5,57110
1984,3,5,58853
1985,3,5,59709
1986,3,5,58764
1987,3,5,58176
1988,3,5,56293
1989,3,5,49891
1990,3,5,47216
1991,3,5,48993
1992,3,5,46750
1993,3,5,43447
1994,3,5,42285
1995,3,5,43297
1996,3,5,51818
1997,3,5,71797
1998,3,5,72647
1999,3,5,67148
2000,3,5,60818
2001,3,5,57997
2002,3,5,53778
2003,3,5,55900
2004,3,5,56912
2005,3,5,55494
2006,3,5,49808
2007,3,5,54679
2008,3,5,51838
2009,3,5,46376
2010,3,5,43110
2011,3,5,39102
2012,3,5,38855
2013,3,5,37038
2014,3,5,37273
2015,3,5,41224
2016,3,5,41345
2017,3,5,37334
2018,3,5,33569
2019,3,5,30703
2020,3,5,31148
2021,3,5,29482
1952,4,5,99143
1953,4,5,100920
1954,4,5,101140
1955,4,5,98626
1956,4,5,99026
1957,4,5,115380
1958,4,5,120370
1959,4,5,115420
1960,4,5,111530
1961,4,5,112300
1962,4,5,108940
1963,4,5,101860
1964,4,5,90734
1965,4,5,84596
1966,4,5,80033
1967,4,5,78369
1968,4,5,78534
1969,4,5,81748
1970,4,5,77282
1971,4,5,71717
1972,4,5,74045
1973,4,5,67892
1974,4,5,62251
1975,4,5,61670
1976,4,5,63055
1977,4,5,67202
1978,4,5,67913
1979,4,5,68752
1980,4,5,68488
1981,4,5,61294
1982,4,5,57288
1983,4,5,56838
1984,4,5,58428
1985,4,5,58923
1986,4,5,57774
1987,4,5,57372
1988,4,5,54488
1989,4,5,47800
1990,4,5,46961
1991,4,5,47885
1992,4,5,45199
1993,4,5,41855
1994,4,5,41870
1995,4,5,43895
1996,4,5,55723
1997,4,5,73407
1998,4,5,70657
1999,4,5,64584
2000,4,5,60048
2001,4,5,55725
2002,4,5,53594
2003,4,5,56025
2004,4,5,56090
2005,4,5,53269
2006,4,5,49779
2007,4,5,54287
2008,4,5,49834
2009,4,5,45260
2010,4,5,41198
2011,4,5,38472
2012,4,5,37754
2013,4,5,36381
2014,4,5,37452
2015,4,5,41053
2016,4,5,39999
2017,4,5,35890
2018,4,5,32231
2019,4,5,30251
2020,4,5,30377
2021,4,5,29038
1952,1,6,174040
1953,1,6,186210
1954,1,6,187850
1955,1,6,185690
1956,1,6,172800
1957,1,6,189740
1958,1,6,211760
1959,1,6,215320
1960,1,6,200940
1961,1,6,202600
1962,1,6,200640
1963,1,6,193940
1964,1,6,178620
1965,1,6,165790
1966,1,6,152240
1967,1,6,153170
1968,1,6,159990
1969,1,6,165820
1970,1,6,169690
1971,1,6,152100
1972,1,6,142240
1973,1,6,134560
1974,1,6,120670
1975,1,6,111500
1976,1,6,135860
1977,1,6,141400
1978,1,6,132200
1979,1,6,121630
1980,1,6,129940
1981,1,6,130070
1982,1,6,115270
1983,1,6,109570
1984,1,6,103550
1985,1,6,104890
1986,1,6,102910
1987,1,6,91784
1988,1,6,78889
1989,1,6,71275
1990,1,6,72311
1991,1,6,94114
1992,1,6,98098
1993,1,6,90604
1994,1,6,82827
1995,1,6,83171
1996,1,6,83678
1997,1,6,90843
1998,1,6,97819
1999,1,6,95057
2000,1,6,90840
2001,1,6,96491
2002,1,6,90510
2003,1,6,90686
2004,1,6,95818
2005,1,6,99038
2006,1,6,91040
2007,1,6,87908
2008,1,6,85736
2009,1,6,87412
2010,1,6,81449
2011,1,6,76678
2012,1,6,78069
2013,1,6,75940
2014,1,6,74240
2015,1,6,76029
2016,1,6,77137
2017,1,6,73887
2018,1,6,72763
2019,1,6,67127
2020,1,6,58848
2021,1,6,53260
1952,2,6,180230
1953,2,6,182580
1954,2,6,183810
1955,2,6,178920
1956,2,6,167270
1957,2,6,194870
1958,2,6,209760
1959,2,6,208330
1960,2,6,193870
1961,2,6,200800
1962,2,6,194750
1963,2,6,186460
1964,2,6,171930
1965,2,6,158500
1966,2,6,147280
1967,2,6,154380
1968,2,6,155030
1969,2,6,166440
1970,2,6,162740
1971,2,6,144500
1972,2,6,138540
1973,2,6,128210
1974,2,6,114910
1975,2,6,110760
1976,2,6,138800
1977,2,6,136130
1978,2,6,127250
1979,2,6,117090
1980,2,6,130860
1981,2,6,123420
1982,2,6,110990
1983,2,6,105960
1984,2,6,100930
1985,2,6,103400
1986,2,6,98487
1987,2,6,86595
1988,2,6,74806
1989,2,6,68108
1990,2,6,75213
1991,2,6,95428
1992,2,6,94522
1993,2,6,86197
1994,2,6,81192
1995,2,6,80765
1996,2,6,82361
1997,2,6,92655
1998,2,6,94145
1999,2,6,92578
2000,2,6,89106
2001,2,6,93973
2002,2,6,87133
2003,2,6,90524
2004,2,6,94362
2005,2,6,97334
2006,2,6,86592
2007,2,6,86366
2008,2,6,84830
2009,2,6,84380
2010,2,6,79002
2011,2,6,75388
2012,2,6,77063
2013,2,6,73722
2014,2,6,73418
2015,2,6,74745
2016,2,6,75882
2017,2,6,71692
2018,2,6,70855
2019,2,6,63571
2020,2,6,56721
2021,2,6,51744
1952,3,6,178590
1953,3,6,180670
1954,3,6,181350
1955,3,6,173340
1956,3,6,167040
1957,3,6,198700
1958,3,6,209160
1959,3,6,202450
1960,3,6,190710
1961,3,6,198300
1962,3,6,191030
1963,3,6,179820
1964,3,6,166780
1965,3,6,152700
1966,3,6,144120
1967,3,6,155340
1968,3,6,152810
1969,3,6,166380
1970,3,6,156390
1971,3,6,139650
1972,3,6,135340
1973,3,6,122840
1974,3,6,110430
1975,3,6,114740
1976,3,6,139550
1977,3,6,131950
1978,3,6,123260
1979,3,6,116350
1980,3,6,130230
1981,3,6,117640
1982,3,6,108180
1983,3,6,103070
1984,3,6,99832
1985,3,6,102060
1986,3,6,94586
1987,3,6,82246
1988,3,6,71914
1989,3,6,66256
1990,3,6,80010
1991,3,6,95792
1992,3,6,91557
1993,3,6,82578
1994,3,6,80651
1995,3,6,79611
1996,3,6,82003
1997,3,6,93929
1998,3,6,91558
1999,3,6,90108
2000,3,6,89740
2001,3,6,91245
2002,3,6,85226
2003,3,6,90433
2004,3,6,93477
2005,3,6,94392
2006,3,6,84149
2007,3,6,84320
2008,3,6,84714
2009,3,6,81768
2010,3,6,76342
2011,3,6,74663
2012,3,6,75412
2013,3,6,71822
2014,3,6,72861
2015,3,6,73599
2016,3,6,74321
2017,3,6,70560
2018,3,6,68610
2019,3,6,60231
2020,3,6,54250
2021,3,6,51179
1952,4,6,184840
1953,4,6,186730
1954,4,6,186430
1955,4,6,175220
1956,4,6,179310
1957,4,6,208330
1958,4,6,215820
1959,4,6,204170
1960,4,6,198260
1961,4,6,202080
1962,4,6,195240
1963,4,6,181120
1964,4,6,168590
1965,4,6,154020
1966,4,6,149160
1967,4,6,160710
1968,4,6,160380
1969,4,6,171200
1970,4,6,156300
1971,4,6,142290
1972,4,6,137040
1973,4,6,123250
1974,4,6,111710
1975,4,6,127010
1976,4,6,143380
1977,4,6,133750
1978,4,6,123950
1979,4,6,123960
1980,4,6,132460
1981,4,6,117180
1982,4,6,110060
1983,4,6,104290
1984,4,6,103260
1985,4,6,103960
1986,4,6,94225
1987,4,6,81000
1988,4,6,72181
1989,4,6,68917
1990,4,6,88593
1991,4,6,98883
1992,4,6,92412
1993,4,6,83237
1994,4,6,83273
1995,4,6,82599
1996,4,6,86493
1997,4,6,97552
1998,4,6,93934
1999,4,6,91125
2000,4,6,94640
2001,4,6,91762
2002,4,6,88313
2003,4,6,94076
2004,4,6,97015
2005,4,6,93772
2006,4,6,86916
2007,4,6,85403
2008,4,6,87445
2009,4,6,82363
2010,4,6,76930
2011,4,6,77216
2012,4,6,76545
2013,4,6,73492
2014,4,6,75242
2015,4,6,76101
2016,4,6,74732
2017,4,6,72479
2018,4,6,68707
2019,4,6,59848
2020,4,6,53953
2021,4,6,53613
1952,1,7,299650
1953,1,7,302340
1954,1,7,305960
1955,1,7,307060
1956,1,7,303960
1957,1,7,311860
1958,1,7,345920
1959,1,7,351750
1960,1,7,324130
1961,1,7,301170
1962,1,7,282220
1963,1,7,257340
1964,1,7,238940
1965,1,7,224070
1966,1,7,209140
1967,1,7,201940
1968,1,7,188300
1969,1,7,182530
1970,1,7,172760
1971,1,7,161400
1972,1,7,172910
1973,1,7,183960
1974,1,7,173650
1975,1,7,176160
1976,1,7,177260
1977,1,7,171550
1978,1,7,176920
1979,1,7,177200
1980,1,7,176480
1981,1,7,164330
1982,1,7,150760
1983,1,7,141930
1984,1,7,139220
1985,1,7,143530
1986,1,7,145890
1987,1,7,147460
1988,1,7,153600
1989,1,7,168080
1990,1,7,185750
1991,1,7,192890
1992,1,7,180810
1993,1,7,164580
1994,1,7,152510
1995,1,7,150750
1996,1,7,141710
1997,1,7,125280
1998,1,7,118080
1999,1,7,124940
2000,1,7,118850
2001,1,7,111370
2002,1,7,103180
2003,1,7,102310
2004,1,7,102270
2005,1,7,97446
2006,1,7,100930
2007,1,7,106470
2008,1,7,105170
2009,1,7,99172
2010,1,7,94155
2011,1,7,101310
2012,1,7,99587
2013,1,7,92363
2014,1,7,95004
2015,1,7,100480
2016,1,7,102630
2017,1,7,96829
2018,1,7,94237
2019,1,7,97304
2020,1,7,105330
2021,1,7,101930
1952,2,7,302250
1953,2,7,307460
1954,2,7,310650
1955,2,7,309230
1956,2,7,307470
1957,2,7,324120
1958,2,7,355490
1959,2,7,352190
1960,2,7,320020
1961,2,7,302790
1962,2,7,278730
1963,2,7,256550
1964,2,7,238670
1965,2,7,222220
1966,2,7,211150
1967,2,7,201930
1968,2,7,188780
1969,2,7,184240
1970,2,7,171740
1971,2,7,163720
1972,2,7,182070
1973,2,7,184920
1974,2,7,174970
1975,2,7,180890
1976,2,7,179720
1977,2,7,174770
1978,2,7,179110
1979,2,7,180670
1980,2,7,177170
1981,2,7,162280
1982,2,7,151220
1983,2,7,141560
1984,2,7,142910
1985,2,7,145860
1986,2,7,149250
1987,2,7,150900
1988,2,7,157670
1989,2,7,176540
1990,2,7,195310
1991,2,7,195320
1992,2,7,180940
1993,2,7,164120
1994,2,7,155120
1995,2,7,152800
1996,2,7,140820
1997,2,7,123550
1998,2,7,122030
1999,2,7,127780
2000,2,7,119390
2001,2,7,111600
2002,2,7,104140
2003,2,7,102610
2004,2,7,103190
2005,2,7,96685
2006,2,7,105230
2007,2,7,107770
2008,2,7,105970
2009,2,7,98977
2010,2,7,96162
2011,2,7,103710
2012,2,7,99126
2013,2,7,94102
2014,2,7,97360
2015,2,7,103920
2016,2,7,103620
2017,2,7,97578
2018,2,7,94780
2019,2,7,101670
2020,2,7,107420
2021,2,7,101410
1952,3,7,302880
1953,3,7,306540
1954,3,7,308310
1955,3,7,304270
1956,3,7,305680
1957,3,7,332420
1958,3,7,354050
1959,3,7,339570
1960,3,7,305820
1961,3,7,293120
1962,3,7,265890
1963,3,7,246670
1964,3,7,229890
1965,3,7,212310
1966,3,7,204350
1967,3,7,192230
1968,3,7,180640
1969,3,7,176230
1970,3,7,162460
1971,3,7,159860
1972,3,7,179210
1973,3,7,174010
1974,3,7,168690
1975,3,7,174230
1976,3,7,170360
1977,3,7,169970
1978,3,7,173130
1979,3,7,173880
1980,3,7,167980
1981,3,7,152450
1982,3,7,144080
1983,3,7,135310
1984,3,7,139540
1985,3,7,140780
1986,3,7,143290
1987,3,7,146770
1988,3,7,154450
1989,3,7,172060
1990,3,7,188620
1991,3,7,182920
1992,3,7,169540
1993,3,7,152600
1994,3,7,147000
1995,3,7,143990
1996,3,7,129000
1997,3,7,114920
1998,3,7,118190
1999,3,7,120420
2000,3,7,112450
2001,3,7,104410
2002,3,7,99715
2003,3,7,98477
2004,3,7,98786
2005,3,7,93971
2006,3,7,104110
2007,3,7,104270
2008,3,7,101070
2009,3,7,94546
2010,3,7,94477
2011,3,7,99525
2012,3,7,93532
2013,3,7,90612
2014,3,7,94734
2015,3,7,100960
2016,3,7,98140
2017,3,7,92978
2018,3,7,91823
2019,3,7,101410
2020,3,7,102920
2021,3,7,94794
1952,4,7,315710
1953,4,7,320210
1954,4,7,322000
1955,4,7,317700
1956,4,7,321050
1957,4,7,355090
1958,4,7,369950
1959,4,7,347470
1960,4,7,316660
1961,4,7,301890
1962,4,7,274070
1963,4,7,255080
1964,4,7,238540
1965,4,7,220800
1966,4,7,214080
1967,4,7,199960
1968,4,7,190940
1969,4,7,184080
1970,4,7,169830
1971,4,7,173980
1972,4,7,191740
1973,4,7,182590
1974,4,7,180910
1975,4,7,184800
1976,4,7,179320
1977,4,7,183030
1978,4,7,184010
1979,4,7,184350
1980,4,7,175130
1981,4,7,159080
1982,4,7,150470
1983,4,7,143750
1984,4,7,149170
1985,4,7,150710
1986,4,7,152610
1987,4,7,157960
1988,4,7,168290
1989,4,7,186150
1990,4,7,199530
1991,4,7,189840
1992,4,7,174960
1993,4,7,158610
1994,4,7,155760
1995,4,7,149040
1996,4,7,133440
1997,4,7,121680
1998,4,7,128500
1999,4,7,125570
2000,4,7,117720
2001,4,7,109020
2002,4,7,106670
2003,4,7,105610
2004,4,7,104020
2005,4,7,101850
2006,4,7,110730
2007,4,7,109840
2008,4,7,105310
2009,4,7,99217
2010,4,7,102960
2011,4,7,105220
2012,4,7,97408
2013,4,7,97252
2014,4,7,102930
2015,4,7,107560
2016,4,7,102850
2017,4,7,98317
2018,4,7,99013
2019,4,7,109060
2020,4,7,107900
2021,4,7,97745
1952,1,8,31697
1953,1,8,28002
1954,1,8,30549
1955,1,8,32012
1956,1,8,32633
1957,1,8,34343
1958,1,8,37731
1959,1,8,38285
1960,1,8,36558
1961,1,8,34801
1962,1,8,33399
1963,1,8,32025
1964,1,8,30619
1965,1,8,28868
1966,1,8,27406
1967,1,8,26168
1968,1,8,25102
1969,1,8,24952
1970,1,8,24283
1971,1,8,22993
1972,1,8,23303
1973,1,8,24039
1974,1,8,22732
1975,1,8,22973
1976,1,8,23818
1977,1,8,23786
1978,1,8,25851
1979,1,8,25081
1980,1,8,25879
1981,1,8,23083
1982,1,8,20974
1983,1,8,20057
1984,1,8,21714
1985,1,8,22785
1986,1,8,21859
1987,1,8,22797
1988,1,8,23371
1989,1,8,21196
1990,1,8,21723
1991,1,8,22350
1992,1,8,21056
1993,1,8,20924
1994,1,8,23868
1995,1,8,25054
1996,1,8,23140
1997,1,8,23630
1998,1,8,21583
1999,1,8,19726
2000,1,8,20176
2001,1,8,20095
2002,1,8,21041
2003,1,8,22429
2004,1,8,19375
2005,1,8,17457
2006,1,8,15889
2007,1,8,13452
2008,1,8,12265
2009,1,8,12217
2010,1,8,12567
2011,1,8,11318
2012,1,8,11576
2013,1,8,11680
2014,1,8,11754
2015,1,8,13191
2016,1,8,14794
2017,1,8,14765
2018,1,8,13533
2019,1,8,12454
2020,1,8,12923
2021,1,8,13975
1952,2,8,31424
1953,2,8,34946
1954,2,8,37045
1955,2,8,38162
1956,2,8,38541
1957,2,8,41306
1958,2,8,44334
1959,2,8,44498
1960,2,8,41873
1961,2,8,40441
1962,2,8,38423
1963,2,8,37238
1964,2,8,35122
1965,2,8,33265
1966,2,8,31793
1967,2,8,30255
1968,2,8,29140
1969,2,8,29140
1970,2,8,27944
1971,2,8,26779
1972,2,8,27829
1973,2,8,27401
1974,2,8,26363
1975,2,8,26850
1976,2,8,27262
1977,2,8,27621
1978,2,8,29025
1979,2,8,28593
1980,2,8,28584
1981,2,8,25448
1982,2,8,23758
1983,2,8,22804
1984,2,8,24797
1985,2,8,25227
1986,2,8,24096
1987,2,8,25788
1988,2,8,24982
1989,2,8,23506
1990,2,8,24913
1991,2,8,24451
1992,2,8,23935
1993,2,8,23474
1994,2,8,25973
1995,2,8,25181
1996,2,8,24208
1997,2,8,24878
1998,2,8,23374
1999,2,8,22133
2000,2,8,22399
2001,2,8,21613
2002,2,8,22926
2003,2,8,22581
2004,2,8,20616
2005,2,8,18884
2006,2,8,17346
2007,2,8,15477
2008,2,8,15056
2009,2,8,14871
2010,2,8,14428
2011,2,8,13895
2012,2,8,14096
2013,2,8,13730
2014,2,8,14437
2015,2,8,15987
2016,2,8,16930
2017,2,8,16364
2018,2,8,15324
2019,2,8,14236
2020,2,8,15196
2021,2,8,15989
1952,3,8,28566
1953,3,8,31634
1954,3,8,33403
1955,3,8,34218
1956,3,8,34827
1957,3,8,38253
1958,3,8,40107
1959,3,8,39532
1960,3,8,37106
1961,3,8,35994
1962,3,8,34102
1963,3,8,33005
1964,3,8,31120
1965,3,8,29422
1966,3,8,28228
1967,3,8,26851
1968,3,8,26127
1969,3,8,26016
1970,3,8,24664
1971,3,8,24044
1972,3,8,25244
1973,3,8,24283
1974,3,8,23824
1975,3,8,24551
1976,3,8,24603
1977,3,8,25792
1978,3,8,26230
1979,3,8,26103
1980,3,8,25244
1981,3,8,22297
1982,3,8,21310
1983,3,8,21030
1984,3,8,22905
1985,3,8,22822
1986,3,8,22053
1987,3,8,24059
1988,3,8,22434
1989,3,8,21564
1990,3,8,23037
1991,3,8,22039
1992,3,8,21897
1993,3,8,21935
1994,3,8,24713
1995,3,8,23121
1996,3,8,22753
1997,3,8,22551
1998,3,8,20742
1999,3,8,19892
2000,3,8,20517
2001,3,8,19925
2002,3,8,21938
2003,3,8,20506
2004,3,8,18553
2005,3,8,16813
2006,3,8,14923
2007,3,8,13455
2008,3,8,13065
2009,3,8,13176
2010,3,8,12875
2011,3,8,12323
2012,3,8,12542
2013,3,8,12179
2014,3,8,13214
2015,3,8,14639
2016,3,8,15253
2017,3,8,14723
2018,3,8,13594
2019,3,8,12979
2020,3,8,14084
2021,3,8,14616
1952,4,8,28560
1953,4,8,31249
1954,4,8,32945
1955,4,8,33573
1956,4,8,34620
1957,4,8,38482
1958,4,8,39527
1959,4,8,38303
1960,4,8,36141
1961,4,8,34980
1962,4,8,33249
1963,4,8,32035
1964,4,8,30149
1965,4,8,28488
1966,4,8,27319
1967,4,8,26071
1968,4,8,25657
1969,4,8,25316
1970,4,8,23922
1971,4,8,23734
1972,4,8,24848
1973,4,8,23533
1974,4,8,23437
1975,4,8,24297
1976,4,8,24092
1977,4,8,26045
1978,4,8,25696
1979,4,8,26016
1980,4,8,24255
1981,4,8,21561
1982,4,8,20738
1983,4,8,21472
1984,4,8,22972
1985,4,8,22525
1986,4,8,22442
1987,4,8,23937
1988,4,8,21803
1989,4,8,21645
1990,4,8,22955
1991,4,8,21695
1992,4,8,21479
1993,4,8,22709
1994,4,8,24934
1995,4,8,22927
1996,4,8,23314
1997,4,8,22296
1998,4,8,20406
1999,4,8,19939
2000,4,8,20390
2001,4,8,20432
2002,4,8,22398
2003,4,8,20167
2004,4,8,18127
2005,4,8,16477
2006,4,8,14533
2007,4,8,13072
2008,4,8,12702
2009,4,8,13026
2010,4,8,12518
2011,4,8,12154
2012,4,8,12228
2013,4,8,11982
2014,4,8,13253
2015,4,8,14773
2016,4,8,15235
2017,4,8,14223
2018,4,8,13030
2019,4,8,12971
2020,4,8,14064
2021,4,8,14354
1952,1,9,6750.6
1953,1,9,7451.7
1954,1,9,7523.3
1955,1,9,7363.3
1956,1,9,6866.7
1957,1,9,7035.9
1958,1,9,8597.3
1959,1,9,8778.1
1960,1,9,8263.4
1961,1,9,8502.1
1962,1,9,9419.5
1963,1,9,8922.8
1964,1,9,7478.9
1965,1,9,6565.6
1966,1,9,5956.6
1967,1,9,5624.5
1968,1,9,5210.9
1969,1,9,4734.9
1970,1,9,4168.6
1971,1,9,3576.7
1972,1,9,3590.6
1973,1,9,3990.5
1974,1,9,3868.8
1975,1,9,3819.8
1976,1,9,3557.7
1977,1,9,3565.1
1978,1,9,4237.5
1979,1,9,4295.9
1980,1,9,4646.5
1981,1,9,4548.9
1982,1,9,4037.9
1983,1,9,3554
1984,1,9,3452.6
1985,1,9,3681.5
1986,1,9,4892.4
1987,1,9,4815.8
1988,1,9,4251.1
1989,1,9,3598.9
1990,1,9,3273.6
1991,1,9,3397.8
1992,1,9,3142.4
1993,1,9,2655
1994,1,9,2333.6
1995,1,9,2058.2
1996,1,9,1705.4
1997,1,9,3134.9
1998,1,9,3458.7
1999,1,9,3121.7
2000,1,9,2656.2
2001,1,9,2450.9
2002,1,9,2110.5
2003,1,9,2032.3
2004,1,9,2017.2
2005,1,9,2446
2006,1,9,2416.1
2007,1,9,3084.4
2008,1,9,3451.8
2009,1,9,3586.4
2010,1,9,3881.6
2011,1,9,3759.7
2012,1,9,3825.2
2013,1,9,3474.7
2014,1,9,3137.6
2015,1,9,3192.4
2016,1,9,3300.3
2017,1,9,3000.6
2018,1,9,2606.3
2019,1,9,2587.1
2020,1,9,2538.7
2021,1,9,2348.6
1952,2,9,6961.1
1953,2,9,7063.5
1954,2,9,7107.4
1955,2,9,6858.9
1956,2,9,6368.3
1957,2,9,7096.6
1958,2,9,8288.9
1959,2,9,8259.7
1960,2,9,7641.7
1961,2,9,8451.7
1962,2,9,8861.4
1963,2,9,8182
1964,2,9,6798.4
1965,2,9,6107.1
1966,2,9,5579.7
1967,2,9,5271.2
1968,2,9,4791.9
1969,2,9,4377.2
1970,2,9,3804.3
1971,2,9,3275.9
1972,2,9,3577.3
1973,2,9,3725.7
1974,2,9,3650.9
1975,2,9,3581.8
1976,2,9,3264.3
1977,2,9,3600.5
1978,2,9,4001.5
1979,2,9,4102.4
1980,2,9,4450.3
1981,2,9,4191.6
1982,2,9,3690.8
1983,2,9,3284.5
1984,2,9,3281.3
1985,2,9,3775.2
1986,2,9,4714.4
1987,2,9,4429.6
1988,2,9,3860.6
1989,2,9,3256.8
1990,2,9,3121.9
1991,2,9,3192.3
1992,2,9,2864.2
1993,2,9,2394.9
1994,2,9,2181.3
1995,2,9,1856.3
1996,2,9,1777.8
1997,2,9,3243.2
1998,2,9,3199.1
1999,2,9,2881
2000,2,9,2458.5
2001,2,9,2268.5
2002,2,9,1982.3
2003,2,9,1923.5
2004,2,9,1996.3
2005,2,9,2367.9
2006,2,9,2354
2007,2,9,3042.8
2008,2,9,3326.6
2009,2,9,3492.4
2010,2,9,3633.4
2011,2,9,3605
2012,2,9,3548.3
2013,2,9,3209.2
2014,2,9,2913.3
2015,2,9,3060.1
2016,2,9,3104.6
2017,2,9,2733.5
2018,2,9,2430.3
2019,2,9,2434.5
2020,2,9,2376
2021,2,9,2170.3
1952,3,9,7175.4
1953,3,9,7270
1954,3,9,7288.2
1955,3,9,6917.2
1956,3,9,6478
1957,3,9,7761.8
1958,3,9,8590.9
1959,3,9,8417.1
1960,3,9,7761.7
1961,3,9,8987.2
1962,3,9,9004
1963,3,9,8092.7
1964,3,9,6730.1
1965,3,9,6158.2
1966,3,9,5659.5
1967,3,9,5328.2
1968,3,9,4798.9
1969,3,9,4353
1970,3,9,3759.2
1971,3,9,3301.7
1972,3,9,3818.6
1973,3,9,3779.8
1974,3,9,3738.2
1975,3,9,3624
1976,3,9,3278
1977,3,9,3916.9
1978,3,9,4101.5
1979,3,9,4281.6
1980,3,9,4558.9
1981,3,9,4175.4
1982,3,9,3662.4
1983,3,9,3327.6
1984,3,9,3376.1
1985,3,9,4246.3
1986,3,9,4835.3
1987,3,9,4412
1988,3,9,3799.2
1989,3,9,3231.2
1990,3,9,3245.1
1991,3,9,3222.7
1992,3,9,2819.7
1993,3,9,2359.8
1994,3,9,2177.5
1995,3,9,1782.6
1996,3,9,2169.9
1997,3,9,3462.5
1998,3,9,3230.6
1999,3,9,2831.2
2000,3,9,2487.3
2001,3,9,2251.2
2002,3,9,2030.5
2003,3,9,1947.6
2004,3,9,2170.8
2005,3,9,2430.6
2006,3,9,2590.5
2007,3,9,3213.3
2008,3,9,3439.8
2009,3,9,3696.8
2010,3,9,3676.3
2011,3,9,3745.3
2012,3,9,3552.8
2013,3,9,3213.3
2014,3,9,2992.2
2015,3,9,3166.2
2016,3,9,3118.8
2017,3,9,2703
2018,3,9,2495.4
2019,3,9,2484.8
2020,3,9,2396
2021,3,9,2190.5
1952,4,9,7393.3
1953,4,9,7477.9
1954,4,9,7454.2
1955,4,9,6975
1956,4,9,6743.3
1957,4,9,8348.4
1958,4,9,8817.9
1959,4,9,8518.2
1960,4,9,8103.3
1961,4,9,9367.4
1962,4,9,9091
1963,4,9,7974.4
1964,4,9,6691.4
1965,4,9,6055.1
1966,4,9,5737.7
1967,4,9,5333.5
1968,4,9,4823.8
1969,4,9,4327.4
1970,4,9,3710.8
1971,4,9,3425.9
1972,4,9,3979
1973,4,9,3858.7
1974,4,9,3823.4
1975,4,9,3645.2
1976,4,9,3388.8
1977,4,9,4166.4
1978,4,9,4235.7
1979,4,9,4512.2
1980,4,9,4619.2
1981,4,9,4152.2
1982,4,9,3641
1983,4,9,3413.7
1984,4,9,3506.4
1985,4,9,4691.2
1986,4,9,4898.1
1987,4,9,4385
1988,4,9,3738
1989,4,9,3258.3
1990,4,9,3367.9
1991,4,9,3227.4
1992,4,9,2767.3
1993,4,9,2355.4
1994,4,9,2145.5
1995,4,9,1709.8
1996,4,9,2690.7
1997,4,9,3588.2
1998,4,9,3219.3
1999,4,9,2741.5
2000,4,9,2495.1
2001,4,9,2194.1
2002,4,9,2055.1
2003,4,9,1971.7
2004,4,9,2348.7
2005,4,9,2436.2
2006,4,9,2879.6
2007,4,9,3372.3
2008,4,9,3533.8
2009,4,9,3859.9
2010,4,9,3735.8
2011,4,9,3849.1
2012,4,9,3546.3
2013,4,9,3209
2014,4,9,3116.1
2015,4,9,3267.7
2016,4,9,3094.4
2017,4,9,2669.8
2018,4,9,2573.2
2019,4,9,2538.1
2020,4,9,2399.9
2021,4,9,2220.3
