year,season,f
1952,1,0.002364
1953,1,0.003461
1954,1,0.001857
1955,1,0.002974
1956,1,0.003732
1957,1,0.004145
1958,1,0.006171
1959,1,0.006685
1960,1,0.007151
1961,1,0.005838
1962,1,0.005722
1963,1,0.007117
1964,1,0.006554
1965,1,0.004744
1966,1,0.005059
1967,1,0.006347
1968,1,0.004675
1969,1,0.006861
1970,1,0.005985
1971,1,0.00615
1972,1,0.007697
1973,1,0.008219
1974,1,0.00707
1975,1,0.008648
1976,1,0.008325
1977,1,0.01032
1978,1,0.008818
1979,1,0.009582
1980,1,0.01196
1981,1,0.009386
1982,1,0.01193
1983,1,0.01253
1984,1,0.0136
1985,1,0.01396
1986,1,0.01354
1987,1,0.01669
1988,1,0.01766
1989,1,0.01437
1990,1,0.01875
1991,1,0.01879
1992,1,0.0211
1993,1,0.01838
1994,1,0.01954
1995,1,0.02339
1996,1,0.02034
1997,1,0.01964
1998,1,0.03146
1999,1,0.02241
2000,1,0.02572
2001,1,0.0215
2002,1,0.03035
2003,1,0.03042
2004,1,0.02999
2005,1,0.02912
2006,1,0.02596
2007,1,0.02993
2008,1,0.03415
2009,1,0.03019
2010,1,0.02951
2011,1,0.03755
2012,1,0.0331
2013,1,0.03584
2014,1,0.03876
2015,1,0.03218
2016,1,0.03128
2017,1,0.02862
2018,1,0.03428
2019,1,0.03006
2020,1,0.03269
2021,1,0.03337
1952,2,0.00199
1953,2,0.001456
1954,2,0.001436
1955,2,0.002174
1956,2,0.001848
1957,2,0.002367
1958,2,0.003747
1959,2,0.003029
1960,2,0.003079
1961,2,0.003852
1962,2,0.003531
1963,2,0.004771
1964,2,0.003862
1965,2,0.003502
1966,2,0.004068
1967,2,0.00477
1968,2,0.0043
1969,2,0.004782
1970,2,0.004531
1971,2,0.004601
1972,2,0.006788
1973,2,0.005362
1974,2,0.005928
1975,2,0.005775
1976,2,0.008212
1977,2,0.009171
1978,2,0.006616
1979,2,0.008565
1980,2,0.008863
1981,2,0.0101
1982,2,0.011
1983,2,0.01129
1984,2,0.01042
1985,2,0.01317
1986,2,0.0113
1987,2,0.01534
1988,2,0.01432
1989,2,0.01416
1990,2,0.01748
1991,2,0.01496
1992,2,0.02222
1993,2,0.01805
1994,2,0.02027
1995,2,0.02058
1996,2,0.01847
1997,2,0.02482
1998,2,0.02692
1999,2,0.03199
2000,2,0.03036
2001,2,0.02655
2002,2,0.03064
2003,2,0.02284
2004,2,0.03668
2005,2,0.02607
2006,2,0.03126
2007,2,0.02805
2008,2,0.03028
2009,2,0.03468
2010,2,0.02803
2011,2,0.04024
2012,2,0.0414
2013,2,0.03465
2014,2,0.03804
2015,2,0.03529
2016,2,0.03266
2017,2,0.02711
2018,2,0.03122
2019,2,0.02833
2020,2,0.03845
2021,2,0.03478
1952,3,0.0009461
1953,3,0.001195
1954,3,0.0006025
1955,3,0.0008311
1956,3,0.0008452
1957,3,0.001398
1958,3,0.002495
1959,3,0.001754
1960,3,0.002015
1961,3,0.002934
1962,3,0.003056
1963,3,0.003303
1964,3,0.002419
1965,3,0.003341
1966,3,0.00342
1967,3,0.003723
1968,3,0.003007
1969,3,0.00347
1970,3,0.003647
1971,3,0.003793
1972,3,0.006158
1973,3,0.004326
1974,3,0.005273
1975,3,0.006465
1976,3,0.006895
1977,3,0.007059
1978,3,0.006119
1979,3,0.009198
1980,3,0.008959
1981,3,0.008006
1982,3,0.009342
1983,3,0.009629
1984,3,0.01287
1985,3,0.01217
1986,3,0.01118
1987,3,0.01479
1988,3,0.01355
1989,3,0.01343
1990,3,0.0175
1991,3,0.01478
1992,3,0.01981
1993,3,0.01979
1994,3,0.02345
1995,3,0.01768
1996,3,0.0165
1997,3,0.02111
1998,3,0.0245
1999,3,0.03166
2000,3,0.03074
2001,3,0.02547
2002,3,0.02843
2003,3,0.02339
2004,3,0.03826
2005,3,0.02613
2006,3,0.02899
2007,3,0.02971
2008,3,0.02938
2009,3,0.02819
2010,3,0.01872
2011,3,0.02116
2012,3,0.02673
2013,3,0.02148
2014,3,0.02709
2015,3,0.02323
2016,3,0.02154
2017,3,0.01964
2018,3,0.02195
2019,3,0.02252
2020,3,0.02112
2021,3,0.02008
1952,4,0.003439
1953,4,0.002204
1954,4,0.001692
1955,4,0.00248
1956,4,0.002756
1957,4,0.004109
1958,4,0.004816
1959,4,0.004259
1960,4,0.004069
1961,4,0.003813
1962,4,0.003817
1963,4,0.005801
1964,4,0.003138
1965,4,0.004133
1966,4,0.005022
1967,4,0.004477
1968,4,0.003772
1969,4,0.004986
1970,4,0.004908
1971,4,0.004981
1972,4,0.006638
1973,4,0.00514
1974,4,0.006403
1975,4,0.009645
1976,4,0.008956
1977,4,0.009116
1978,4,0.00853
1979,4,0.0103
1980,4,0.008077
1981,4,0.008931
1982,4,0.01164
1983,4,0.01181
1984,4,0.01222
1985,4,0.01249
1986,4,0.01256
1987,4,0.01647
1988,4,0.0126
1989,4,0.01604
1990,4,0.01655
1991,4,0.0159
1992,4,0.01797
1993,4,0.01684
1994,4,0.02424
1995,4,0.01712
1996,4,0.01817
1997,4,0.02596
1998,4,0.02565
1999,4,0.0308
2000,4,0.02495
2001,4,0.02465
2002,4,0.02685
2003,4,0.02815
2004,4,0.03692
2005,4,0.03034
2006,4,0.03371
2007,4,0.03317
2008,4,0.03397
2009,4,0.03746
2010,4,0.03307
2011,4,0.0365
2012,4,0.03848
2013,4,0.03627
2014,4,0.03607
2015,4,0.03308
2016,4,0.0407
2017,4,0.02827
2018,4,0.03567
2019,4,0.03179
2020,4,0.03429
2021,4,0.02559
